?primaryID	?name	?synonym
<Q409646>	"Serpin family A member 7"@en	"T4-binding globulin"@en
<Q409646>	"Serpin family A member 7"@en	"serpin A7"@en
<Q409646>	"Serpin family A member 7"@en	"serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7"@en
<Q409747>	"Elastin"@en	"tropoelastin"@en
<Q409747>	"Elastin"@en	"elastin"@en
<Q409747>	"Elastin"@en	"ELN"@en
<Q409867>	"nuclear receptor subfamily 1 group I member 2"@en	"steroid and xenobiotic receptor"@en
<Q409867>	"nuclear receptor subfamily 1 group I member 2"@en	"pregnane X receptor"@en
<Q409867>	"nuclear receptor subfamily 1 group I member 2"@en	"pregnane X nuclear receptor variant 2"@en
<Q409867>	"nuclear receptor subfamily 1 group I member 2"@en	"orphan nuclear receptor PAR1"@en
<Q409867>	"nuclear receptor subfamily 1 group I member 2"@en	"orphan nuclear receptor PXR"@en
<Q409867>	"nuclear receptor subfamily 1 group I member 2"@en	"SXR"@en
<Q409867>	"nuclear receptor subfamily 1 group I member 2"@en	"NR1I2"@en
<Q409961>	"Leucine rich repeat kinase 2"@en	"Dardarin"@en
<Q409961>	"Leucine rich repeat kinase 2"@en	"augmented in rheumatoid arthritis 17"@en
<Q409961>	"Leucine rich repeat kinase 2"@en	"LRRK2"@en
<Q409961>	"Leucine rich repeat kinase 2"@en	"leucine-rich repeat serine/threonine-protein kinase 2"@en
<Q409970>	"tryptophan 2,3-dioxygenase"@en	"TDO2"@en
<Q409970>	"tryptophan 2,3-dioxygenase"@en	"TO"@en
<Q409970>	"tryptophan 2,3-dioxygenase"@en	"tryptophan pyrrolase"@en
<Q409970>	"tryptophan 2,3-dioxygenase"@en	"tryptophan oxygenase"@en
<Q409970>	"tryptophan 2,3-dioxygenase"@en	"tryptamin 2,3-dioxygenase"@en
<Q409970>	"tryptophan 2,3-dioxygenase"@en	"TRPO"@en
<Q409970>	"tryptophan 2,3-dioxygenase"@en	"tryptophanase"@en
<Q409999>	"Frataxin"@en	"FXN"@en
<Q409999>	"Frataxin"@en	"Friedreich ataxia protein"@en
<Q409999>	"Frataxin"@en	"frataxin, mitochondrial"@en
<Q409414>	"Hemopexin"@en	"beta-1B-glycoprotein"@en
<Q409414>	"Hemopexin"@en	"HPX"@en
<Q409414>	"Hemopexin"@en	"hemopexin"@en
<Q409414>	"Hemopexin"@en	"epididymis secretory sperm binding protein"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU-type homeodomain-containing DNA-binding protein"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU domain transcription factor OCT4"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU classV homeobox 1 variant 2"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU class 5 homeobox 1 transcript variant OCT4B6"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU class 5 homeobox 1 transcript variant OCT4B5"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU class 5 homeobox 1 transcript variant OCT4B4"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU class 5 homeobox 1 transcript variant OCT4B3"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU class 5 homeobox 1 transcript variant OCT4B2"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU class 5 homeobox 1 transcript variant OCT4B1"@en
<Q409423>	"POU class 5 homeobox 1"@en	"octamer-binding transcription factor 3"@en
<Q409423>	"POU class 5 homeobox 1"@en	"octamer-binding protein 4"@en
<Q409423>	"POU class 5 homeobox 1"@en	"octamer-binding protein 3"@en
<Q409423>	"POU class 5 homeobox 1"@en	"OTF-3"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU5F1"@en
<Q409423>	"POU class 5 homeobox 1"@en	"POU domain, class 5, transcription factor 1"@en
<Q409423>	"POU class 5 homeobox 1"@en	"Oct-4"@en
<Q409423>	"POU class 5 homeobox 1"@en	"Oct-3"@en
<Q409450>	"Kallikrein related peptidase 3"@en	"seminin"@en
<Q409450>	"Kallikrein related peptidase 3"@en	"semenogelase"@en
<Q409450>	"Kallikrein related peptidase 3"@en	"Prostate-specific antigen"@en
<Q409450>	"Kallikrein related peptidase 3"@en	"prostate-specific antigen"@en
<Q409450>	"Kallikrein related peptidase 3"@en	"P-30 antigen"@en
<Q409450>	"Kallikrein related peptidase 3"@en	"KLK3"@en
<Q409450>	"Kallikrein related peptidase 3"@en	"kallikrein-3"@en
<Q409450>	"Kallikrein related peptidase 3"@en	"gamma-seminoprotein"@en
<Q409489>	"growth hormone releasing hormone"@en	"somatorelin"@en
<Q409489>	"growth hormone releasing hormone"@en	"Growth hormone-releasing factor"@en
<Q409489>	"growth hormone releasing hormone"@en	"growth hormone releasing factor"@en
<Q409489>	"growth hormone releasing hormone"@en	"GHRH"@en
<Q409489>	"growth hormone releasing hormone"@en	"somatoliberin"@en
<Q409489>	"growth hormone releasing hormone"@en	"Growth hormone-releasing hormone"@en
<Q409489>	"growth hormone releasing hormone"@en	"GRF"@en
<Q409532>	"Sepiapterin reductase"@en	"SPR"@en
<Q409532>	"Sepiapterin reductase"@en	"short chain dehydrogenase/reductase family 38C, member 1"@en
<Q409532>	"Sepiapterin reductase"@en	"Sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)"@en
<Q409532>	"Sepiapterin reductase"@en	"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)"@en
<Q409532>	"Sepiapterin reductase"@en	"sepiapterin reductase"@en
<Q161537>	"1,4-alpha-glucan branching enzyme 1"@en	"Glycogen-branching enzyme"@en
<Q161537>	"1,4-alpha-glucan branching enzyme 1"@en	"EC 2.4.1.18"@en
<Q161537>	"1,4-alpha-glucan branching enzyme 1"@en	"brancher enzyme"@en
<Q161537>	"1,4-alpha-glucan branching enzyme 1"@en	"amylo-(1,4 to 1,6) transglycosylase"@en
<Q161537>	"1,4-alpha-glucan branching enzyme 1"@en	"amylo-(1,4 to 1,6) transglucosidase"@en
<Q161537>	"1,4-alpha-glucan branching enzyme 1"@en	"GBE1"@en
<Q161537>	"1,4-alpha-glucan branching enzyme 1"@en	"glucan (1,4-alpha-), branching enzyme 1"@en
<Q161537>	"1,4-alpha-glucan branching enzyme 1"@en	"1,4-alpha-glucan-branching enzyme"@en
<Q161537>	"1,4-alpha-glucan branching enzyme 1"@en	"glycogen branching enzyme"@en
<Q166726>	"Myogenin"@en	"myogenic factor 4"@en
<Q166726>	"Myogenin"@en	"Myf-4"@en
<Q166726>	"Myogenin"@en	"class C basic helix-loop-helix protein 3"@en
<Q166726>	"Myogenin"@en	"MYOG"@en
<Q166726>	"Myogenin"@en	"myogenin"@en
<Q166726>	"Myogenin"@en	"bHLHc3"@en
<Q170617>	"glucagon"@en	"glucagone"@en
<Q170617>	"glucagon"@en	"glucagon recombinant"@en
<Q170617>	"glucagon"@en	"GCG(53-81)"@en
<Q409106>	"marker of proliferation Ki-67"@en	"protein phosphatase 1, regulatory subunit 105"@en
<Q409106>	"marker of proliferation Ki-67"@en	"proliferation-related Ki-67 antigen"@en
<Q409106>	"marker of proliferation Ki-67"@en	"Ki-67 Antigen"@en
<Q409106>	"marker of proliferation Ki-67"@en	"antigen Ki67"@en
<Q409106>	"marker of proliferation Ki-67"@en	"proliferation marker protein Ki-67"@en
<Q409106>	"marker of proliferation Ki-67"@en	"antigen KI-67"@en
<Q409106>	"marker of proliferation Ki-67"@en	"antigen identified by monoclonal antibody Ki-67"@en
<Q409106>	"marker of proliferation Ki-67"@en	"MKI67"@en
<Q409114>	"Sex determining region Y"@en	"truncated sex-determining region Y protein"@en
<Q409114>	"Sex determining region Y"@en	"testis-determining factor on Y"@en
<Q409114>	"Sex determining region Y"@en	"Testis-determining factor"@en
<Q409114>	"Sex determining region Y"@en	"SRY"@en
<Q409114>	"Sex determining region Y"@en	"sex-determining region on Y"@en
<Q409114>	"Sex determining region Y"@en	"essential protein for sex determination in human males"@en
<Q409114>	"Sex determining region Y"@en	"sex-determining region Y protein"@en
<Q409166>	"Coagulation factor II, thrombin"@en	"thrombin factor II"@en
<Q409166>	"Coagulation factor II, thrombin"@en	"prothrombin B-chain"@en
<Q409166>	"Coagulation factor II, thrombin"@en	"prepro-coagulation factor II"@en
<Q409166>	"Coagulation factor II, thrombin"@en	"prothrombin"@en
<Q409166>	"Coagulation factor II, thrombin"@en	"Coagulation factor II"@en
<Q409166>	"Coagulation factor II, thrombin"@en	"serine protease"@en
<Q409166>	"Coagulation factor II, thrombin"@en	"thrombin"@en
<Q409166>	"Coagulation factor II, thrombin"@en	"F2"@en
<Q409346>	"TNF superfamily member 13b"@en	"tumor necrosis factor-like protein ZTNF4"@en
<Q409346>	"TNF superfamily member 13b"@en	"tumor necrosis factor ligand 7A"@en
<Q409346>	"TNF superfamily member 13b"@en	"tumor necrosis factor (ligand) superfamily, member 20"@en
<Q409346>	"TNF superfamily member 13b"@en	"tumor necrosis factor (ligand) superfamily, member 13b"@en
<Q409346>	"TNF superfamily member 13b"@en	"TNF- and APOL-related leukocyte expressed ligand 1"@en
<Q409346>	"TNF superfamily member 13b"@en	"TNF homolog that activates apoptosis"@en
<Q409346>	"TNF superfamily member 13b"@en	"TNF and ApoL-related leukocyte expressed ligand 1"@en
<Q409346>	"TNF superfamily member 13b"@en	"dendritic cell-derived TNF-like molecule"@en
<Q409346>	"TNF superfamily member 13b"@en	"Delta4 BAFF"@en
<Q409346>	"TNF superfamily member 13b"@en	"delta BAFF"@en
<Q409346>	"TNF superfamily member 13b"@en	"BLyS"@en
<Q409346>	"TNF superfamily member 13b"@en	"B-lymphocyte stimulator"@en
<Q409346>	"TNF superfamily member 13b"@en	"B lymphocyte stimulator"@en
<Q409346>	"TNF superfamily member 13b"@en	"ApoL related ligand TALL-1"@en
<Q409346>	"TNF superfamily member 13b"@en	"tumor necrosis factor superfamily member 13b"@en
<Q409346>	"TNF superfamily member 13b"@en	"TNFSF13B"@en
<Q409346>	"TNF superfamily member 13b"@en	"TALL-1"@en
<Q409346>	"TNF superfamily member 13b"@en	"tumor necrosis factor ligand superfamily member 13B"@en
<Q409346>	"TNF superfamily member 13b"@en	"BAFF"@en
<Q409346>	"TNF superfamily member 13b"@en	"B-cell-activating factor"@en
<Q409346>	"TNF superfamily member 13b"@en	"epididymis secretory sperm binding protein"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"v-myc myelocytomatosis viral oncogene homolog"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"v-myc avian myelocytomatosis viral oncogene homolog"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"transcription factor p64"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"proto-oncogene c-Myc"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"myc-related translation/localization regulatory factor"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"myc proto-oncogene protein"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"MYC"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"class E basic helix-loop-helix protein 39"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"bHLHe39"@en
<Q420267>	"MYC proto-oncogene, bHLH transcription factor"@en	"avian myelocytomatosis viral oncogene homolog"@en
<Q420470>	"Cystic fibrosis transmembrane conductance regulator"@en	"cystic fibrosis transmembrane conductance regulating"@en
<Q420470>	"Cystic fibrosis transmembrane conductance regulator"@en	"3.6.3.49"@en
<Q420470>	"Cystic fibrosis transmembrane conductance regulator"@en	"channel conductance-controlling ATPase"@en
<Q420470>	"Cystic fibrosis transmembrane conductance regulator"@en	"cAMP-dependent chloride channel"@en
<Q420470>	"Cystic fibrosis transmembrane conductance regulator"@en	"ATP-binding cassette sub-family C member 7"@en
<Q420470>	"Cystic fibrosis transmembrane conductance regulator"@en	"cystic fibrosis transmembrane conductance regulator"@en
<Q420470>	"Cystic fibrosis transmembrane conductance regulator"@en	"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"@en
<Q420470>	"Cystic fibrosis transmembrane conductance regulator"@en	"CFTR"@en
<Q420522>	"Nanog homeobox"@en	"Nanog Homeobox Protein"@en
<Q420522>	"Nanog homeobox"@en	"NANOG"@en
<Q420522>	"Nanog homeobox"@en	"homeobox transcription factor Nanog-delta 48"@en
<Q420522>	"Nanog homeobox"@en	"homeobox transcription factor Nanog"@en
<Q420522>	"Nanog homeobox"@en	"homeobox protein NANOG"@en
<Q420522>	"Nanog homeobox"@en	"hNanog"@en
<Q420604>	"phenylalanine hydroxylase"@en	"phe-4-monooxygenase"@en
<Q420604>	"phenylalanine hydroxylase"@en	"phenylalanine-4-hydroxylase"@en
<Q420604>	"phenylalanine hydroxylase"@en	"phenylalanine 4-monooxygenase"@en
<Q420604>	"phenylalanine hydroxylase"@en	"PAH"@en
<Q420678>	"Ornithine carbamoyltransferase"@en	"OTC"@en
<Q420678>	"Ornithine carbamoyltransferase"@en	"OTCase"@en
<Q420678>	"Ornithine carbamoyltransferase"@en	"ornithine carbamoyltransferase, mitochondrial"@en
<Q420678>	"Ornithine carbamoyltransferase"@en	"ornithine transcarbamylase"@en
<Q420766>	"Tyrosine hydroxylase"@en	"dystonia 14"@en
<Q420766>	"Tyrosine hydroxylase"@en	"tyrosine 3-hydroxylase"@en
<Q420766>	"Tyrosine hydroxylase"@en	"tyrosine 3-monooxygenase"@en
<Q420766>	"Tyrosine hydroxylase"@en	"TH"@en
<Q424519>	"thrombopoietin"@en	"prepro-thrombopoietin"@en
<Q424519>	"thrombopoietin"@en	"MPL ligand"@en
<Q424519>	"thrombopoietin"@en	"c-mpl ligand"@en
<Q424519>	"thrombopoietin"@en	"megakaryocyte stimulating factor"@en
<Q424519>	"thrombopoietin"@en	"THPO"@en
<Q424519>	"thrombopoietin"@en	"myeloproliferative leukemia virus oncogene ligand"@en
<Q424519>	"thrombopoietin"@en	"ML"@en
<Q424519>	"thrombopoietin"@en	"MGDF"@en
<Q424519>	"thrombopoietin"@en	"megakaryocyte growth and development factor"@en
<Q424519>	"thrombopoietin"@en	"megakaryocyte colony-stimulating factor"@en
<Q424643>	"islet amyloid polypeptide"@en	"Islet amyloid polypeptide (diabetes-associated peptide; amylin)"@en
<Q424643>	"islet amyloid polypeptide"@en	"insulinoma amyloid peptide"@en
<Q424643>	"islet amyloid polypeptide"@en	"diabetes-associated peptide"@en
<Q424643>	"islet amyloid polypeptide"@en	"amylin"@en
<Q424643>	"islet amyloid polypeptide"@en	"IAPP"@en
<Q424643>	"islet amyloid polypeptide"@en	"DAP"@en
<Q424693>	"pancreatic lipase"@en	"pancreatic triacylglycerol lipase"@en
<Q424693>	"pancreatic lipase"@en	"PNLIP"@en
<Q424693>	"pancreatic lipase"@en	"triacylglycerol acylhydrolase"@en
<Q424693>	"pancreatic lipase"@en	"triacylglycerol lipase"@en
<Q424706>	"cholesteryl ester transfer protein"@en	"lipid transfer protein I"@en
<Q424706>	"cholesteryl ester transfer protein"@en	"cholesteryl ester transfer protein plasma"@en
<Q424706>	"cholesteryl ester transfer protein"@en	"Cholesteryl ester transfer protein"@en
<Q424706>	"cholesteryl ester transfer protein"@en	"Cholesterol Ester Transfer Proteins"@en
<Q424706>	"cholesteryl ester transfer protein"@en	"BPI fold containing family F"@en
<Q424706>	"cholesteryl ester transfer protein"@en	"CETP"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"plasmodium vivax receptor"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"GpFy"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"glycoprotein D"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"Fy glycoprotein"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"Duffy blood group, chemokine receptor"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"Duffy blood group system protein"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"Duffy blood group antigen"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"Duffy blood group"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"Duffy antigen/chemokine receptor"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"Duffy antigen chemokine receptor"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"atypical chemokine receptor 1"@en
<Q205042>	"atypical chemokine receptor 1 (Duffy blood group)"@en	"ACKR1"@en
<Q205986>	"Proteolipid protein 1"@en	"major myelin proteolipid protein"@en
<Q205986>	"Proteolipid protein 1"@en	"PLP1"@en
<Q205986>	"Proteolipid protein 1"@en	"myelin proteolipid protein"@en
<Q205986>	"Proteolipid protein 1"@en	"lipophilin"@en
<Q218706>	"erythropoietin"@en	"uniprot:P01588"@en
<Q218706>	"erythropoietin"@en	"epoetin"@en
<Q218706>	"erythropoietin"@en	"EPO"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"tumor necrosis factor-induced gene 1"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"T-cell chemotactic factor"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"small inducible cytokine subfamily B, member 8"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"Protein 3-10C"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"Neutrophil-activating protein 1"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"neutrophil-activating peptide 1"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"monocyte-derived neutrophil-activating peptide"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"monocyte-derived neutrophil chemotactic factor"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"lymphocyte derived neutrophil activating peptide"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"lung giant cell carcinoma-derived chemotactic protein"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"granulocyte chemotactic protein 1"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"emoctakin"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"chemokine ligand 8"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"beta-thromboglobulin-like protein"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"beta endothelial cell-derived neutrophil activating peptide"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"alveolar macrophage chemotactic factor I"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"MONAP"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"MDNCF"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"NAP-1"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"chemokine (C-X-C motif) ligand 8"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"C-X-C motif chemokine 8"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"interleukin-8"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"CXCL8"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"interleukin 8"@en
<Q421859>	"C-X-C motif chemokine ligand 8"@en	"GCP-1"@en
<Q421869>	"Histidine decarboxylase"@en	"uniprot:P19113"@en
<Q421869>	"Histidine decarboxylase"@en	"HDC"@en
<Q421869>	"Histidine decarboxylase"@en	"histidine decarboxylase"@en
<Q422025>	"haptoglobin"@en	"zonulin"@en
<Q422025>	"haptoglobin"@en	"haptoglobin, beta polypeptide"@en
<Q422025>	"haptoglobin"@en	"haptoglobin, alpha polypeptide"@en
<Q422025>	"haptoglobin"@en	"haptoglobin alpha(2FS)-beta"@en
<Q422025>	"haptoglobin"@en	"haptoglobin alpha(1S)-beta"@en
<Q422025>	"haptoglobin"@en	"binding peptide"@en
<Q422025>	"haptoglobin"@en	"HP"@en
<Q422288>	"Natriuretic peptide B"@en	"prepro-BNP"@en
<Q422288>	"Natriuretic peptide B"@en	"natriuretic protein"@en
<Q422288>	"Natriuretic peptide B"@en	"brain type natriuretic peptide"@en
<Q422288>	"Natriuretic peptide B"@en	"natriuretic peptide precursor B"@en
<Q422288>	"Natriuretic peptide B"@en	"NPPB"@en
<Q422288>	"Natriuretic peptide B"@en	"preproBNP"@en
<Q422288>	"Natriuretic peptide B"@en	"natriuretic peptides B"@en
<Q422288>	"Natriuretic peptide B"@en	"gamma-brain natriuretic peptide"@en
<Q123045>	"Brain derived neurotrophic factor"@en	"abrineurin"@en
<Q123045>	"Brain derived neurotrophic factor"@en	"neurotrophin"@en
<Q123045>	"Brain derived neurotrophic factor"@en	"BDNF"@en
<Q123045>	"Brain derived neurotrophic factor"@en	"brain-derived neurotrophic factor"@en
<Q128861>	"angiotensin I converting enzyme"@en	"Peptidyl-Dipeptidase A"@en
<Q128861>	"angiotensin I converting enzyme"@en	"peptidase P"@en
<Q128861>	"angiotensin I converting enzyme"@en	"kininase II"@en
<Q128861>	"angiotensin I converting enzyme"@en	"dipeptidyl carboxypeptidase I"@en
<Q128861>	"angiotensin I converting enzyme"@en	"dipeptidyl carboxypeptidase 1"@en
<Q128861>	"angiotensin I converting enzyme"@en	"CD143 antigen"@en
<Q128861>	"angiotensin I converting enzyme"@en	"carboxycathepsin"@en
<Q128861>	"angiotensin I converting enzyme"@en	"angiotensin-converting enzyme"@en
<Q128861>	"angiotensin I converting enzyme"@en	"angiotensin converting enzyme, somatic isoform"@en
<Q128861>	"angiotensin I converting enzyme"@en	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1"@en
<Q128861>	"angiotensin I converting enzyme"@en	"ACE"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"Glycosylation-inhibiting factor"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"5.3.3.12"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"phenylpyruvate tautomerase"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"MIF"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"L-dopachrome tautomerase"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"L-dopachrome isomerase"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"macrophage migration inhibitory factor (glycosylation-inhibiting factor)"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"macrophage migration inhibitory factor"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"epididymis secretory sperm binding protein"@en
<Q133582>	"Macrophage migration inhibitory factor"@en	"GIF"@en
<Q141591>	"ATM serine/threonine kinase"@en	"TEL1, telomere maintenance 1, homolog"@en
<Q141591>	"ATM serine/threonine kinase"@en	"AT mutated"@en
<Q141591>	"ATM serine/threonine kinase"@en	"A-T mutated"@en
<Q141591>	"ATM serine/threonine kinase"@en	"ataxia telangiectasia mutated"@en
<Q141591>	"ATM serine/threonine kinase"@en	"serine-protein kinase ATM"@en
<Q141591>	"ATM serine/threonine kinase"@en	"ATM"@en
<Q151233>	"Hemojuvelin BMP co-receptor"@en	"hemochromatosis type 2 protein"@en
<Q151233>	"Hemojuvelin BMP co-receptor"@en	"haemojuvelin"@en
<Q151233>	"Hemojuvelin BMP co-receptor"@en	"repulsive guidance molecule c"@en
<Q151233>	"Hemojuvelin BMP co-receptor"@en	"RGM domain family member C"@en
<Q151233>	"Hemojuvelin BMP co-receptor"@en	"hemojuvelin BMP coreceptor"@en
<Q151233>	"Hemojuvelin BMP co-receptor"@en	"HFE2"@en
<Q151233>	"Hemojuvelin BMP co-receptor"@en	"HJV"@en
<Q151233>	"Hemojuvelin BMP co-receptor"@en	"hemojuvelin"@en
<Q151233>	"Hemojuvelin BMP co-receptor"@en	"hemochromatosis type 2 (juvenile)"@en
<Q155750>	"aryl hydrocarbon receptor"@en	"class E basic helix-loop-helix protein 76"@en
<Q155750>	"aryl hydrocarbon receptor"@en	"aromatic hydrocarbon receptor"@en
<Q155750>	"aryl hydrocarbon receptor"@en	"AH-receptor"@en
<Q155750>	"aryl hydrocarbon receptor"@en	"bHLHe76"@en
<Q155750>	"aryl hydrocarbon receptor"@en	"aryl hydrocarbon receptor"@en
<Q155750>	"aryl hydrocarbon receptor"@en	"ah receptor"@en
<Q155750>	"aryl hydrocarbon receptor"@en	"AHR"@en
<Q1198053>	"Cell division cycle 42"@en	"small GTP binding protein CDC42"@en
<Q1198053>	"Cell division cycle 42"@en	"GTP binding protein, 25kDa"@en
<Q1198053>	"Cell division cycle 42"@en	"growth-regulating protein"@en
<Q1198053>	"Cell division cycle 42"@en	"G25K GTP-binding protein"@en
<Q1198053>	"Cell division cycle 42"@en	"dJ224A6.1.2 (cell division cycle 42 (GTP-binding protein, 25kD))"@en
<Q1198053>	"Cell division cycle 42"@en	"dJ224A6.1.1 (cell division cycle 42 (GTP-binding protein, 25kD))"@en
<Q1198053>	"Cell division cycle 42"@en	"cell division control protein 42 homolog"@en
<Q1198053>	"Cell division cycle 42"@en	"CDC42"@en
<Q1200249>	"Dermcidin"@en	"survival promoting peptide"@en
<Q1200249>	"Dermcidin"@en	"proteolysis inducing factor"@en
<Q1200249>	"Dermcidin"@en	"preproteolysin"@en
<Q1200249>	"Dermcidin"@en	"diffusible survival/evasion peptide"@en
<Q1200249>	"Dermcidin"@en	"dermcidin"@en
<Q1200249>	"Dermcidin"@en	"DCD"@en
<Q1225690>	"Insulin degrading enzyme"@en	"Insulysin"@en
